customerid,recency,frequency,monetary,cluster,segment
12346,325,2,154367,4,Loyal Customers
12347,1,7,4310,0,Low Value Customers
12348,74,4,1797,0,Low Value Customers
12349,18,1,1757,0,Low Value Customers
12350,309,1,334,1,Lost Customers
12352,35,11,3466,0,Low Value Customers
12353,203,1,89,1,Lost Customers
12354,231,1,1079,1,Lost Customers
12355,213,1,459,1,Lost Customers
12356,22,3,2811,0,Low Value Customers
12357,32,1,6207,0,Low Value Customers
12358,1,2,1168,0,Low Value Customers
12359,7,6,6437,0,Low Value Customers
12360,51,3,2662,0,Low Value Customers
12361,286,1,189,1,Lost Customers
12362,2,13,5297,0,Low Value Customers
12363,109,2,552,0,Low Value Customers
12364,7,4,1313,0,Low Value Customers
12365,290,3,962,1,Lost Customers
12367,3,1,168,0,Low Value Customers
12370,50,4,3541,0,Low Value Customers
12371,44,2,1887,0,Low Value Customers
12372,71,3,1298,0,Low Value Customers
12373,310,1,364,1,Lost Customers
12374,24,1,742,0,Low Value Customers
12375,2,3,459,0,Low Value Customers
12377,314,2,1628,1,Lost Customers
12378,129,1,4008,0,Low Value Customers
12379,81,3,854,0,Low Value Customers
12380,21,5,2729,0,Low Value Customers
12381,4,6,1886,0,Low Value Customers
12383,184,6,1861,1,Lost Customers
12384,28,3,604,0,Low Value Customers
12386,337,2,401,1,Lost Customers
12388,15,6,2780,0,Low Value Customers
12390,79,1,549,0,Low Value Customers
12391,21,1,439,0,Low Value Customers
12393,71,4,1582,0,Low Value Customers
12394,63,2,1272,0,Low Value Customers
12395,15,15,3038,0,Low Value Customers
12397,35,2,2409,0,Low Value Customers
12398,45,1,1635,0,Low Value Customers
12399,118,4,1108,0,Low Value Customers
12401,302,1,84,1,Lost Customers
12402,322,1,225,1,Lost Customers
12403,49,2,445,0,Low Value Customers
12405,148,1,1710,1,Lost Customers
12406,21,3,3549,0,Low Value Customers
12407,49,5,1708,0,Low Value Customers
12408,32,9,2934,0,Low Value Customers
12409,78,7,11088,0,Low Value Customers
12410,300,3,705,1,Lost Customers
12412,74,3,1226,0,Low Value Customers
12413,66,5,822,0,Low Value Customers
12414,216,3,562,1,Lost Customers
12415,23,26,126103,4,Loyal Customers
12417,2,12,3719,0,Low Value Customers
12418,112,1,668,0,Low Value Customers
12420,63,1,600,0,Low Value Customers
